,Estimate!!Total housing units,Estimate!!SEX AND AGE!!Total population,Estimate!!SEX AND AGE!!Total population!!Male,Estimate!!SEX AND AGE!!Total population!!Female,Estimate!!SEX AND AGE!!18 years and over,Estimate!!SEX AND AGE!!21 years and over,Estimate!!SEX AND AGE!!65 years and over,Estimate!!SEX AND AGE!!Median age (years),"Total!!Estimate!!MARITAL STATUS!!Population 15 years and over!!Now married, except separated","Total!!Estimate!!MARITAL STATUS!!Population 15 years and over!!Now married, except separated",Total!!Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Some college or associate's degree,Total!!Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Some college or associate's degree,Total!!Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree,Total!!Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree,Total!!Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Graduate or professional degree,Total!!Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Graduate or professional degree,Total!!Estimate!!POVERTY STATUS IN THE PAST 12 MONTHS!!Population for whom poverty status is determined!!Below 100 percent of the poverty level,Total!!Estimate!!POVERTY STATUS IN THE PAST 12 MONTHS!!Population for whom poverty status is determined!!100 to 149 percent of the poverty level,Total!!Estimate!!POVERTY STATUS IN THE PAST 12 MONTHS!!Population for whom poverty status is determined!!At or above 150 percent of the poverty level,Total!!Estimate!!MEANS OF TRANSPORTATION TO WORK!!Public transportation (excluding taxicab),Total!!Estimate!!TRAVEL TIME TO WORK!!Mean travel time to work (minutes),Total!!Estimate!!TRAVEL TIME TO WORK!!Mean travel time to work (minutes),Total!!Estimate!!Median earnings (dollars),Total!!Estimate!!HOUSEHOLDS!!Households,Join_Count,Join_Count2,Join_Count3,Join_Count4,Join_Count5,Join_Count6,Join_Count7,Join_Count8,Join_Count9,Join_Count10,Join_Count11,Join_Count12,Join_Count13,Join_Count14,Join_Count15,Join_Count16,Join_Count17,Join_Count18,Join_Count19,Join_Count20,Join_Count21,Join_Count22,Join_Count23,Join_Count24,Join_Count25,Join_Count26,Join_Count27,Join_Count28,Join_Count29,Join_Count30,Join_Count31,Join_Count32,Join_Count33,Join_Count34,Join_Count35,Join_Count36
53033003000,2501,5719,2851,2868,4402,4324,469,38.1,50.1,2284,20.7,840,39.7,1607,26.2,1062,6.0,2.8,91.1,17.7,26.9,26.9,0.0,2434,1.0,3.0,22.0,2.0,1.0,72.0,2.0,2.0,7.0,0.0,0.0,4.0,2.0,1.0,0.0,0.0,0.0,13.0,6.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,2.0,30.0,0.0,3.0,0.0,0.0,0.0,0.0,14.0,0.0
53033003100,2743,6223,2967,3256,4844,4746,627,40.6,59.6,2937,22.9,1054,41.0,1885,25.2,1158,5.2,1.0,93.8,16.9,30.0,30.0,0.0,2610,0.0,21.0,10.0,0.0,0.0,24.0,2.0,3.0,7.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,55.0,4.0,2.0,0.0,0.0,3.0,5.0,0.0,0.0
53033003200,4127,8233,4303,3930,6965,6782,1045,37.4,43.7,3111,21.3,1349,45.3,2869,24.9,1579,9.5,3.7,86.8,17.0,31.5,0.0,51045.0,3971,1.0,52.0,49.0,0.0,1.0,123.0,4.0,8.0,1.0,0.0,0.0,7.0,8.0,3.0,0.0,0.0,3.0,12.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,4.0,9.0,53.0,0.0,7.0,2.0,0.0,15.0,4.0,8.0,0.0
53033003300,3270,6572,3318,3254,5657,5630,482,33.9,48.5,2789,24.5,1318,43.5,2340,23.9,1287,5.8,5.8,88.5,17.6,26.8,26.8,49587.0,3166,2.0,21.0,29.0,0.0,0.0,78.0,5.0,2.0,18.0,0.0,0.0,1.0,4.0,8.0,0.0,1.0,0.0,3.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,26.0,18.0,1.0,3.0,2.0,0.0,0.0,3.0,320.0,0.0
53033003400,1564,3587,1658,1929,2792,2739,271,37.3,57.4,1655,20.2,536,40.8,1081,36.1,957,4.6,0.9,94.5,12.4,26.2,26.2,56902.0,1506,0.0,3.0,16.0,0.0,0.0,38.0,2.0,1.0,4.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,1.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
53033003500,1933,3960,1899,2061,3283,3167,464,39.0,49.9,1680,22.8,675,32.7,965,36.5,1078,8.2,3.8,88.0,18.7,27.5,27.5,0.0,1841,1.0,47.0,26.0,0.0,0.0,46.0,0.0,3.0,5.0,2.0,0.0,3.0,5.0,0.0,6.0,0.0,2.0,15.0,6.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,22.0,2.0,8.0,19.0,0.0,33.0,2.0,8.0,0.0
53033003600,3457,6122,3208,2914,5555,5524,664,31.3,22.5,1259,13.8,648,49.6,2335,29.4,1384,14.6,6.6,78.9,29.3,26.2,0.0,0.0,3210,6.0,0.0,107.0,0.0,4.0,64.0,14.0,3.0,13.0,0.0,0.0,5.0,14.0,4.0,0.0,0.0,1.0,25.0,13.0,1.0,0.0,3.0,0.0,1.0,0.0,0.0,8.0,80.0,0.0,10.0,1.0,0.0,2.0,0.0,0.0,0.0
53033003800,928,2165,1148,1017,1704,1621,300,37.8,47.8,851,19.6,290,31.3,462,37.6,556,8.8,5.0,86.2,19.0,24.2,0.0,0.0,856,1.0,0.0,6.0,0.0,1.0,20.0,6.0,0.0,2.0,0.0,0.0,0.0,5.0,3.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,22.0,0.0,0.0,0.0,0.0,1.0,1.0,14.0,0.0
53033003900,1201,3080,1450,1630,2319,2265,406,38.4,59.2,1416,24.7,530,36.8,791,31.8,683,5.5,1.1,93.4,7.6,26.0,0.0,0.0,1161,1.0,1.0,3.0,0.0,0.0,24.0,3.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,8.0,27.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
53033004000,1397,3125,1482,1643,2359,2304,358,37.6,53.0,1311,12.8,279,36.0,785,42.2,921,18.5,4.1,77.3,16.0,25.0,25.0,0.0,1322,0.0,6.0,13.0,2.0,0.0,53.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,51.0,2.0,7.0,0.0,0.0,25.0,0.0,0.0,0.0
