,Estimate!!Total housing units,Estimate!!SEX AND AGE!!Total population,Estimate!!SEX AND AGE!!Total population!!Male,Estimate!!SEX AND AGE!!Total population!!Female,Estimate!!SEX AND AGE!!18 years and over,Estimate!!SEX AND AGE!!21 years and over,Estimate!!SEX AND AGE!!65 years and over,Estimate!!SEX AND AGE!!Median age (years),"Total!!Estimate!!MARITAL STATUS!!Population 15 years and over!!Now married, except separated","Total!!Estimate!!MARITAL STATUS!!Population 15 years and over!!Now married, except separated",Total!!Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Some college or associate's degree,Total!!Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Some college or associate's degree,Total!!Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree,Total!!Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree,Total!!Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Graduate or professional degree,Total!!Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Graduate or professional degree,Total!!Estimate!!POVERTY STATUS IN THE PAST 12 MONTHS!!Population for whom poverty status is determined!!Below 100 percent of the poverty level,Total!!Estimate!!POVERTY STATUS IN THE PAST 12 MONTHS!!Population for whom poverty status is determined!!100 to 149 percent of the poverty level,Total!!Estimate!!POVERTY STATUS IN THE PAST 12 MONTHS!!Population for whom poverty status is determined!!At or above 150 percent of the poverty level,Total!!Estimate!!MEANS OF TRANSPORTATION TO WORK!!Public transportation (excluding taxicab),Total!!Estimate!!TRAVEL TIME TO WORK!!Mean travel time to work (minutes),Total!!Estimate!!TRAVEL TIME TO WORK!!Mean travel time to work (minutes),Total!!Estimate!!Median earnings (dollars),Total!!Estimate!!HOUSEHOLDS!!Households,Join_Count,Join_Count2,Join_Count3,Join_Count4,Join_Count5,Join_Count6,Join_Count7,Join_Count8,Join_Count9,Join_Count10,Join_Count11,Join_Count12,Join_Count13,Join_Count14,Join_Count15,Join_Count16,Join_Count17,Join_Count18,Join_Count19,Join_Count20,Join_Count21,Join_Count22,Join_Count23,Join_Count24,Join_Count25,Join_Count26,Join_Count27,Join_Count28,Join_Count29,Join_Count30,Join_Count31,Join_Count32,Join_Count33,Join_Count34,Join_Count35,Join_Count36
6037104822,639,2572,1367,1205,1817,1635,207,32.9,38.2,748,17.2,254,6.4,95,1.8,26,29.8,18.4,51.7,13.2,25.9,0.0,17891.0,614,0,0,0,0,0,1,3,0,9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,0,0,0,0,0,2,0,0,0,0,10,0
6037106010,978,2991,1444,1547,2282,2166,349,40.0,43.4,1060,27.9,545,14.4,281,7.8,152,23.6,10.6,65.7,5.1,38.5,0.0,32154.0,923,0,0,0,0,2,2,1,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,42,0
6037106020,1467,6279,2967,3312,4613,4372,749,35.2,46.3,2322,27.5,1086,9.7,385,6.7,266,9.3,22.5,68.2,8.2,31.8,0.0,0.0,1428,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,0
6037106111,1405,4816,2414,2402,3649,3512,609,40.0,46.2,1856,27.7,878,17.3,547,7.0,222,11.6,5.6,82.7,3.6,36.7,0.0,41315.0,1359,0,4,0,0,0,39,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,0,0,0,0,0,0,0,650,0
6037106112,1529,6009,3004,3005,4286,4050,563,33.6,48.2,2270,27.4,1005,17.7,650,5.5,203,16.1,9.7,74.1,1.0,31.1,0.0,36409.0,1508,0,2,0,0,0,50,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0
6037106113,955,3455,1760,1695,2620,2467,507,36.9,50.7,1399,23.1,514,18.2,404,4.0,88,9.2,7.2,83.6,5.1,30.1,0.0,0.0,924,0,0,0,0,0,4,3,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,72,0
6037106114,1647,5926,2910,3016,4108,3799,406,29.6,39.9,1748,22.0,744,11.3,383,4.0,135,22.1,16.3,61.6,2.6,30.8,30.8,0.0,1526,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,15,0,0,0,0,268,0
6037106403,844,3553,1664,1889,2679,2549,299,32.3,45.8,1318,21.0,467,3.9,86,1.8,39,5.3,10.0,84.6,3.7,28.1,0.0,0.0,764,0,0,0,0,0,0,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0
6037106405,1179,3825,1822,2003,2619,2488,252,30.5,45.5,1245,23.7,535,7.5,168,3.0,67,33.0,7.1,59.9,3.2,29.0,0.0,28375.0,1085,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,10,0,0,0,0,198,0
6037106406,1628,5495,2446,3049,4081,3845,658,36.7,51.4,2254,32.4,1153,17.8,635,5.4,191,7.5,1.0,91.4,1.7,31.1,0.0,0.0,1561,0,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,720,0
6037106407,915,2891,1261,1630,2026,1909,444,34.2,33.5,723,24.5,427,9.7,170,2.0,35,25.5,22.4,52.2,11.8,35.7,0.0,0.0,798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,8,0,0,0,0,4,0
6037106408,1028,3908,1955,1953,2553,2230,114,24.6,41.4,1123,21.0,388,5.6,104,3.9,72,30.4,26.0,43.6,3.9,25.0,0.0,0.0,976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,14,0
6037106510,1643,5151,2792,2359,3667,3508,519,32.8,46.1,1929,31.0,986,21.4,680,7.1,224,10.1,6.9,83.1,2.6,29.2,0.0,0.0,1528,0,0,0,0,0,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,2,0,534,0
6037106520,1393,5908,2889,3019,4342,4032,679,32.2,40.7,1868,22.0,821,5.8,216,2.5,95,21.3,12.5,66.1,0.7,26.9,0.0,0.0,1354,0,0,0,0,0,0,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,670,0
6037106603,994,3256,1634,1622,2443,2307,515,43.8,62.3,1664,24.4,529,31.1,674,22.9,496,2.0,6.8,91.3,2.0,34.8,0.0,0.0,978,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0
6037106604,1224,4638,2200,2438,3243,3035,321,31.5,42.4,1492,30.9,860,9.0,250,3.2,88,26.3,8.2,65.6,12.6,29.6,0.0,24211.0,1149,0,0,0,0,0,3,2,0,2,0,50,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,50,0,300,0
6037106641,799,2145,1064,1081,1769,1704,418,45.8,65.1,1167,24.0,379,34.4,543,24.2,381,3.0,2.4,94.6,2.5,30.9,0.0,59063.0,720,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
6037106642,1112,3422,1746,1676,2742,2580,629,42.8,57.1,1671,36.0,894,21.4,533,13.9,345,2.7,1.6,95.7,4.7,35.2,0.0,0.0,1112,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0
6037106643,1369,4753,2147,2606,3880,3668,715,44.3,55.5,2263,23.0,775,31.6,1066,23.3,785,1.5,0.8,97.6,0.6,30.6,0.0,0.0,1336,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,28,0
6037106645,1222,3338,1649,1689,2497,2449,739,44.5,65.4,1785,20.7,483,36.5,850,22.0,512,7.6,3.0,89.5,0.7,36.7,0.0,0.0,1145,0,0,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,2,0
6037106646,987,3689,1741,1948,2980,2826,606,44.3,46.1,1486,30.2,809,22.5,602,8.2,219,5.8,10.9,83.3,3.7,33.3,0.0,0.0,975,0,0,0,0,0,0,5,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0
6037106648,1034,3994,2082,1912,2759,2561,267,28.3,42.9,1264,20.7,474,6.2,142,1.4,33,30.9,19.0,50.1,8.6,26.4,0.0,23070.0,993,0,0,0,0,0,0,3,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,364,0
6037106649,749,2657,1276,1381,1948,1905,371,36.9,50.8,1066,25.2,442,21.8,383,9.1,159,10.6,8.2,81.2,0.5,30.7,0.0,0.0,709,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,72,0
6037107010,759,3116,1606,1510,2347,2203,283,35.1,41.8,1072,21.6,415,5.9,114,3.0,57,20.0,11.6,68.4,2.2,31.2,31.2,30074.0,741,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,102,0
