,Estimate!!Total housing units,Estimate!!SEX AND AGE!!Total population,Estimate!!SEX AND AGE!!Total population!!Male,Estimate!!SEX AND AGE!!Total population!!Female,Estimate!!SEX AND AGE!!18 years and over,Estimate!!SEX AND AGE!!21 years and over,Estimate!!SEX AND AGE!!65 years and over,Estimate!!SEX AND AGE!!Median age (years),"Total!!Estimate!!MARITAL STATUS!!Population 15 years and over!!Now married, except separated","Total!!Estimate!!MARITAL STATUS!!Population 15 years and over!!Now married, except separated",Total!!Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Some college or associate's degree,Total!!Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Some college or associate's degree,Total!!Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree,Total!!Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree,Total!!Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Graduate or professional degree,Total!!Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Graduate or professional degree,Total!!Estimate!!POVERTY STATUS IN THE PAST 12 MONTHS!!Population for whom poverty status is determined!!Below 100 percent of the poverty level,Total!!Estimate!!POVERTY STATUS IN THE PAST 12 MONTHS!!Population for whom poverty status is determined!!100 to 149 percent of the poverty level,Total!!Estimate!!POVERTY STATUS IN THE PAST 12 MONTHS!!Population for whom poverty status is determined!!At or above 150 percent of the poverty level,Total!!Estimate!!MEANS OF TRANSPORTATION TO WORK!!Public transportation (excluding taxicab),Total!!Estimate!!TRAVEL TIME TO WORK!!Mean travel time to work (minutes),Total!!Estimate!!TRAVEL TIME TO WORK!!Mean travel time to work (minutes),Total!!Estimate!!Median earnings (dollars),Total!!Estimate!!HOUSEHOLDS!!Households,Join_Count,Join_Count2,Join_Count3,Join_Count4,Join_Count5,Join_Count6,Join_Count7,Join_Count8,Join_Count9,Join_Count10,Join_Count11,Join_Count12,Join_Count13,Join_Count14,Join_Count15,Join_Count16,Join_Count17,Join_Count18,Join_Count19,Join_Count20,Join_Count21,Join_Count22,Join_Count23,Join_Count24,Join_Count25,Join_Count26,Join_Count27,Join_Count28,Join_Count29,Join_Count30,Join_Count31,Join_Count32,Join_Count33,Join_Count34,Join_Count35,Join_Count36
6075012800,2675,5128,2413,2715,4271,4265,565,33.3,34.5,1522,11.8,484,46.1,1889,32.7,1341,5.9,3.1,91.0,32.3,31.4,0.0,77741.0,2433,4.0,0.0,3.0,1.0,4.0,19.0,2.0,4.0,4.0,0.0,32.0,4.0,3.0,3.0,0.0,0.0,3.0,38.0,7.0,12.0,3.0,1.0,4.0,1.0,0.0,0.0,0.0,41.0,0.0,2.0,0.0,0.0,32.0,7.0,0.0,0.0
6075012901,1699,2587,1081,1506,2436,2425,240,32.5,32.1,783,8.5,200,57.4,1355,28.9,681,3.5,1.0,95.5,41.7,32.6,0.0,0.0,1473,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,17.0,1.0,2.0,2.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0
6075012902,2210,3537,1615,1922,3256,3223,427,31.3,25.1,823,13.1,391,51.7,1546,29.0,867,8.8,2.6,88.6,46.3,34.1,0.0,0.0,2084,0.0,0.0,3.0,0.0,0.0,8.0,4.0,5.0,0.0,0.0,15.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,24.0,26.0,0.0,0.0,0.0,0.0,15.0,0.0,8.0,0.0
6075013000,2657,4626,2225,2401,4217,4209,549,33.9,37.9,1607,9.8,389,59.8,2381,22.6,900,8.2,1.3,90.5,29.1,26.9,0.0,86102.0,2535,3.0,0.0,0.0,0.0,1.0,2.0,5.0,3.0,2.0,0.0,2.0,6.0,6.0,4.0,0.0,0.0,0.0,13.0,4.0,3.0,2.0,1.0,0.0,0.0,0.0,1.0,2.0,24.0,0.0,1.0,0.0,0.0,2.0,2.0,84.0,0.0
6075013101,2609,4071,2022,2049,3767,3714,320,34.0,29.6,1119,8.9,311,47.8,1671,39.9,1396,4.6,1.4,94.1,40.3,34.0,0.0,0.0,2474,3.0,0.0,0.0,0.0,1.0,2.0,2.0,5.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,4.0,0.0,48.0,0.0
6075013102,1758,2823,1340,1483,2686,2645,577,36.7,39.9,1080,17.4,446,49.2,1262,30.4,778,6.5,0.3,93.2,29.4,30.6,0.0,0.0,1668,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,17.0,0.0,1.0,0.0,0.0,6.0,0.0,0.0,0.0
6075013200,2647,4796,2503,2293,4163,4135,1049,41.5,55.3,2337,9.7,393,45.7,1853,41.4,1681,2.8,2.3,95.0,25.4,25.8,0.0,0.0,2423,0.0,0.0,0.0,0.0,0.0,0.0,16.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0
6075013300,2088,4497,2086,2411,3588,3478,762,40.7,49.6,1832,11.2,368,38.0,1252,39.1,1288,12.0,5.4,82.6,24.7,27.7,0.0,88250.0,1921,0.0,0.0,2.0,1.0,2.0,6.0,2.0,4.0,4.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,7.0,6.0,7.0,2.0,0.0,3.0,0.0,0.0,0.0,4.0,34.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0
6075013400,2213,4026,1789,2237,3432,3432,497,35.0,41.6,1448,14.8,473,40.6,1299,35.6,1139,6.4,1.3,92.2,22.9,31.4,31.4,75439.0,2079,0.0,22.0,0.0,0.0,0.0,1.0,6.0,5.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,6.0,26.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
6075013500,1861,2580,1191,1389,2355,2350,379,35.6,31.3,739,11.9,273,42.4,968,37.1,848,8.1,0.9,91.0,31.4,30.3,0.0,90546.0,1606,3.0,1.0,2.0,2.0,2.0,2.0,0.0,2.0,4.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0
